交易日期,证券代码,利率,期限
20190304,SHIBOR1W.IR,2.38,1W
20190304,SHIBOR1Y.IR,3.058,1Y
20190304,SHIBOR2W.IR,2.424,2W
20190304,SHIBOR3M.IR,2.75,3M
20190304,SHIBOR6M.IR,2.85,6M
20190304,SHIBOR9M.IR,2.95,9M
20190304,SHIBORON.IR,1.933,O/N
20190305,SHIBOR1M.IR,2.699,1M
20190305,SHIBOR1W.IR,2.574,1W
20190305,SHIBOR1Y.IR,3.055,1Y
20190305,SHIBOR2W.IR,2.49,2W
20190305,SHIBOR3M.IR,2.75,3M
20190305,SHIBOR6M.IR,2.85,6M
20190305,SHIBOR9M.IR,2.95,9M
20190305,SHIBORON.IR,2.266,O/N
20190306,SHIBOR1M.IR,2.703,1M
20190306,SHIBOR1W.IR,2.488,1W
20190306,SHIBOR1Y.IR,3.053,1Y
20190306,SHIBOR2W.IR,2.488,2W
20190306,SHIBOR3M.IR,2.75,3M
20190306,SHIBOR6M.IR,2.85,6M
20190306,SHIBOR9M.IR,2.95,9M
20190306,SHIBORON.IR,2.074,O/N
20190307,SHIBOR1M.IR,2.705,1M
20190307,SHIBOR1W.IR,2.517,1W
20190307,SHIBOR1Y.IR,3.054,1Y
20190307,SHIBOR2W.IR,2.487,2W
20190307,SHIBOR3M.IR,2.751,3M
20190307,SHIBOR6M.IR,2.85,6M
20190307,SHIBOR9M.IR,2.95,9M
20190307,SHIBORON.IR,2.06,O/N
20190308,SHIBOR1M.IR,2.712,1M
20190308,SHIBOR1W.IR,2.388,1W
20190308,SHIBOR1Y.IR,3.057,1Y
20190308,SHIBOR2W.IR,2.448,2W
20190308,SHIBOR3M.IR,2.755,3M
20190308,SHIBOR6M.IR,2.85,6M
20190308,SHIBOR9M.IR,2.95,9M
20190308,SHIBORON.IR,2.047,O/N
20190311,SHIBOR1M.IR,2.7172,1M
20190311,SHIBOR1W.IR,2.395,1W
20190311,SHIBOR1Y.IR,3.06,1Y
20190311,SHIBOR2W.IR,2.4328,2W
20190311,SHIBOR3M.IR,2.7565,3M
20190311,SHIBOR6M.IR,2.85,6M
20190311,SHIBOR9M.IR,2.95,9M
20190311,SHIBORON.IR,2.092,O/N
20190312,SHIBOR1M.IR,2.732,1M
20190312,SHIBOR1W.IR,2.601,1W
20190312,SHIBOR1Y.IR,3.066,1Y
20190312,SHIBOR2W.IR,2.458,2W
20190312,SHIBOR3M.IR,2.761,3M
20190312,SHIBOR6M.IR,2.851,6M
20190312,SHIBOR9M.IR,2.95,9M
20190312,SHIBORON.IR,2.365,O/N
20190313,SHIBOR1M.IR,2.754,1M
20190313,SHIBOR1W.IR,2.493,1W
20190313,SHIBOR1Y.IR,3.066,1Y
20190313,SHIBOR2W.IR,2.461,2W
20190313,SHIBOR3M.IR,2.768,3M
20190313,SHIBOR6M.IR,2.851,6M
20190313,SHIBOR9M.IR,2.95,9M
20190313,SHIBORON.IR,2.079,O/N
20190314,SHIBOR1M.IR,2.774,1M
20190314,SHIBOR1W.IR,2.598,1W
20190314,SHIBOR1Y.IR,3.072,1Y
20190314,SHIBOR2W.IR,2.48,2W
20190314,SHIBOR3M.IR,2.777,3M
20190314,SHIBOR6M.IR,2.854,6M
20190314,SHIBOR9M.IR,2.953,9M
20190314,SHIBORON.IR,2.31,O/N
20190315,SHIBOR1M.IR,2.81,1M
20190315,SHIBOR1W.IR,2.728,1W
20190315,SHIBOR1Y.IR,3.077,1Y
20190315,SHIBOR2W.IR,2.617,2W
20190315,SHIBOR3M.IR,2.799,3M
20190315,SHIBOR6M.IR,2.858,6M
20190315,SHIBOR9M.IR,2.956,9M
20190315,SHIBORON.IR,2.655,O/N
20190318,SHIBOR1M.IR,2.832,1M
20190318,SHIBOR1W.IR,2.709,1W
20190318,SHIBOR1Y.IR,3.082,1Y
20190318,SHIBOR2W.IR,2.861,2W
20190318,SHIBOR3M.IR,2.814,3M
20190318,SHIBOR6M.IR,2.86,6M
20190318,SHIBOR9M.IR,2.958,9M
20190318,SHIBORON.IR,2.756,O/N
20190319,SHIBOR1M.IR,2.852,1M
20190319,SHIBOR1W.IR,2.729,1W
20190319,SHIBOR1Y.IR,3.086,1Y
20190319,SHIBOR2W.IR,2.991,2W
20190319,SHIBOR3M.IR,2.823,3M
20190319,SHIBOR6M.IR,2.865,6M
20190319,SHIBOR9M.IR,2.96,9M
20190319,SHIBORON.IR,2.666,O/N
20190320,SHIBOR1M.IR,2.875,1M
20190320,SHIBOR1W.IR,2.711,1W
20190320,SHIBOR1Y.IR,3.088,1Y
20190320,SHIBOR2W.IR,2.946,2W
20190320,SHIBOR3M.IR,2.833,3M
20190320,SHIBOR6M.IR,2.865,6M
20190320,SHIBOR9M.IR,2.962,9M
20190320,SHIBORON.IR,2.714,O/N
20190321,SHIBOR1M.IR,2.884,1M
20190321,SHIBOR1W.IR,2.684,1W
20190321,SHIBOR1Y.IR,3.091,1Y
20190321,SHIBOR2W.IR,2.936,2W
20190321,SHIBOR3M.IR,2.838,3M
20190321,SHIBOR6M.IR,2.864,6M
20190321,SHIBOR9M.IR,2.963,9M
20190321,SHIBORON.IR,2.661,O/N
20190322,SHIBOR1M.IR,2.884,1M
20190322,SHIBOR1W.IR,2.664,1W
20190322,SHIBOR1Y.IR,3.092,1Y
20190322,SHIBOR2W.IR,2.97,2W
20190322,SHIBOR3M.IR,2.837,3M
20190322,SHIBOR6M.IR,2.862,6M
20190322,SHIBOR9M.IR,2.962,9M
20190322,SHIBORON.IR,2.62,O/N
20190325,SHIBOR1M.IR,2.879,1M
20190325,SHIBOR1W.IR,2.668,1W
20190325,SHIBOR1Y.IR,3.086,1Y
20190325,SHIBOR2W.IR,2.896,2W
20190325,SHIBOR3M.IR,2.836,3M
20190325,SHIBOR6M.IR,2.861,6M
20190325,SHIBOR9M.IR,2.957,9M
20190325,SHIBORON.IR,2.535,O/N
20190326,SHIBOR1M.IR,2.862,1M
20190326,SHIBOR1W.IR,2.704,1W
20190326,SHIBOR1Y.IR,3.08,1Y
