交易日期,曲线名称,交易期限,到期收益率
20241024,中债国债收益率曲线,10.0,2.1661
20241023,中债国债收益率曲线,1.0,1.4254
20241023,中债国债收益率曲线,10.0,2.1559
20241022,中债国债收益率曲线,1.0,1.4349
20241022,中债国债收益率曲线,10.0,2.1458
20241021,中债国债收益率曲线,1.0,1.4354
20241021,中债国债收益率曲线,10.0,2.1211
20241018,中债国债收益率曲线,1.0,1.4329
20241018,中债国债收益率曲线,10.0,2.1209
20241017,中债国债收益率曲线,10.0,2.1084
20241017,中债国债收益率曲线,1.0,1.4279
20241016,中债国债收益率曲线,1.0,1.4504
20241016,中债国债收益率曲线,10.0,2.1331
20241015,中债国债收益率曲线,1.0,1.4504
20241015,中债国债收益率曲线,10.0,2.1254
20241014,中债国债收益率曲线,1.0,1.4479
20241014,中债国债收益率曲线,10.0,2.1368
20241012,中债国债收益率曲线,1.0,1.4179
20241012,中债国债收益率曲线,10.0,2.1441
20241011,中债国债收益率曲线,1.0,1.4429
20241011,中债国债收益率曲线,10.0,2.1392
20241010,中债国债收益率曲线,1.0,1.4379
20241010,中债国债收益率曲线,10.0,2.1441
20241009,中债国债收益率曲线,1.0,1.4279
20241009,中债国债收益率曲线,10.0,2.1760
20241008,中债国债收益率曲线,1.0,1.3729
20241008,中债国债收益率曲线,10.0,2.1928
20240930,中债国债收益率曲线,1.0,1.3679
20240930,中债国债收益率曲线,10.0,2.1518
20240929,中债国债收益率曲线,1.0,1.4379
20240929,中债国债收益率曲线,10.0,2.2534
20240927,中债国债收益率曲线,1.0,1.4379
20240927,中债国债收益率曲线,10.0,2.1714
20240926,中债国债收益率曲线,1.0,1.4029
20240926,中债国债收益率曲线,10.0,2.0787
20240925,中债国债收益率曲线,1.0,1.3879
20240925,中债国债收益率曲线,10.0,2.0437
20240924,中债国债收益率曲线,1.0,1.4179
20240924,中债国债收益率曲线,10.0,2.0728
20240923,中债国债收益率曲线,1.0,1.3879
20240923,中债国债收益率曲线,10.0,2.0381
20240920,中债国债收益率曲线,1.0,1.3910
20240920,中债国债收益率曲线,10.0,2.0431
20240919,中债国债收益率曲线,1.0,1.3910
20240919,中债国债收益率曲线,10.0,2.0450
20240918,中债国债收益率曲线,1.0,1.3660
20240918,中债国债收益率曲线,10.0,2.0403
20240914,中债国债收益率曲线,1.0,1.3310
20240914,中债国债收益率曲线,10.0,2.0425
20240913,中债国债收益率曲线,1.0,1.3260
20240913,中债国债收益率曲线,10.0,2.0724
20240912,中债国债收益率曲线,1.0,1.3260
20240912,中债国债收益率曲线,10.0,2.0998
20240911,中债国债收益率曲线,1.0,1.3285
20240911,中债国债收益率曲线,10.0,2.1044
20240910,中债国债收益率曲线,1.0,1.3552
20240910,中债国债收益率曲线,10.0,2.1143
20240909,中债国债收益率曲线,1.0,1.4152
20240909,中债国债收益率曲线,10.0,2.1267
20240906,中债国债收益率曲线,1.0,1.4352
20240906,中债国债收益率曲线,10.0,2.1388
20240905,中债国债收益率曲线,1.0,1.4475
20240905,中债国债收益率曲线,10.0,2.1338
20240904,中债国债收益率曲线,1.0,1.4550
20240904,中债国债收益率曲线,10.0,2.1336
20240903,中债国债收益率曲线,1.0,1.4300
20240903,中债国债收益率曲线,10.0,2.1432
20240902,中债国债收益率曲线,1.0,1.4650
20240902,中债国债收益率曲线,10.0,2.1457
20240830,中债国债收益率曲线,1.0,1.4900
20240830,中债国债收益率曲线,10.0,2.1704
20240829,中债国债收益率曲线,1.0,1.4912
20240829,中债国债收益率曲线,10.0,2.1703
20240828,中债国债收益率曲线,1.0,1.4963
20240828,中债国债收益率曲线,10.0,2.1673
20240827,中债国债收益率曲线,1.0,1.5073
20240827,中债国债收益率曲线,10.0,2.1903
20240826,中债国债收益率曲线,1.0,1.5042
20240826,中债国债收益率曲线,10.0,2.1628
20240823,中债国债收益率曲线,1.0,1.4973
20240823,中债国债收益率曲线,10.0,2.1547
20240822,中债国债收益率曲线,1.0,1.5211
20240822,中债国债收益率曲线,10.0,2.1582
20240821,中债国债收益率曲线,1.0,1.5443
20240821,中债国债收益率曲线,10.0,2.1670
20240820,中债国债收益率曲线,1.0,1.5535
20240820,中债国债收益率曲线,10.0,2.1710
20240819,中债国债收益率曲线,1.0,1.5406
20240819,中债国债收益率曲线,10.0,2.1816
20240816,中债国债收益率曲线,1.0,1.5341
20240816,中债国债收益率曲线,10.0,2.1978
20240815,中债国债收益率曲线,1.0,1.5211
20240815,中债国债收益率曲线,10.0,2.2050
20240814,中债国债收益率曲线,1.0,1.5059
20240814,中债国债收益率曲线,10.0,2.1966
20240813,中债国债收益率曲线,1.0,1.5008
20240813,中债国债收益率曲线,10.0,2.2255
20240812,中债国债收益率曲线,1.0,1.5283
20240812,中债国债收益率曲线,10.0,2.2508
20240809,中债国债收益率曲线,1.0,1.4562
20240809,中债国债收益率曲线,10.0,2.1986
20240808,中债国债收益率曲线,1.0,1.4268
20240808,中债国债收益率曲线,10.0,2.1810
20240807,中债国债收益率曲线,1.0,1.4065
20240807,中债国债收益率曲线,10.0,2.1414
20240806,中债国债收益率曲线,1.0,1.4103
20240806,中债国债收益率曲线,10.0,2.1491
20240805,中债国债收益率曲线,1.0,1.3902
20240805,中债国债收益率曲线,10.0,2.1376
20240802,中债国债收益率曲线,1.0,1.3901
20240802,中债国债收益率曲线,10.0,2.1277
20240801,中债国债收益率曲线,1.0,1.4101
20240801,中债国债收益率曲线,10.0,2.1297
20240731,中债国债收益率曲线,1.0,1.4201
20240731,中债国债收益率曲线,10.0,2.1494
20240730,中债国债收益率曲线,1.0,1.4300
20240730,中债国债收益率曲线,10.0,2.1480
20240729,中债国债收益率曲线,1.0,1.4500
20240729,中债国债收益率曲线,10.0,2.1574
20240726,中债国债收益率曲线,1.0,1.4769
20240726,中债国债收益率曲线,10.0,2.1944
20240725,中债国债收益率曲线,1.0,1.4650
20240725,中债国债收益率曲线,10.0,2.2168
20240724,中债国债收益率曲线,1.0,1.4655
20240724,中债国债收益率曲线,10.0,2.2381
20240723,中债国债收益率曲线,1.0,1.4705
20240723,中债国债收益率曲线,10.0,2.2322
20240722,中债国债收益率曲线,1.0,1.4880
20240722,中债国债收益率曲线,10.0,2.2461
20240719,中债国债收益率曲线,1.0,1.5265
20240719,中债国债收益率曲线,10.0,2.2614
20240718,中债国债收益率曲线,1.0,1.5315
20240718,中债国债收益率曲线,10.0,2.2673
20240717,中债国债收益率曲线,1.0,1.5240
20240717,中债国债收益率曲线,10.0,2.2598
20240716,中债国债收益率曲线,1.0,1.5290
20240716,中债国债收益率曲线,10.0,2.2613
20240715,中债国债收益率曲线,1.0,1.5365
20240715,中债国债收益率曲线,10.0,2.2541
20240712,中债国债收益率曲线,1.0,1.5390
20240712,中债国债收益率曲线,10.0,2.2604
20240711,中债国债收益率曲线,1.0,1.5390
20240711,中债国债收益率曲线,10.0,2.2648
20240710,中债国债收益率曲线,1.0,1.5515
20240710,中债国债收益率曲线,10.0,2.2707
20240709,中债国债收益率曲线,1.0,1.5540
20240709,中债国债收益率曲线,10.0,2.2698
20240708,中债国债收益率曲线,1.0,1.5790
20240708,中债国债收益率曲线,10.0,2.2904
20240705,中债国债收益率曲线,1.0,1.5290
20240705,中债国债收益率曲线,10.0,2.2754
20240704,中债国债收益率曲线,1.0,1.5290
20240704,中债国债收益率曲线,10.0,2.2502
20240703,中债国债收益率曲线,1.0,1.5240
20240703,中债国债收益率曲线,10.0,2.2426
20240702,中债国债收益率曲线,1.0,1.5365
20240702,中债国债收益率曲线,10.0,2.2369
20240701,中债国债收益率曲线,1.0,1.5565
20240701,中债国债收益率曲线,10.0,2.2486
20240628,中债国债收益率曲线,1.0,1.5390
20240628,中债国债收益率曲线,10.0,2.2058
20240627,中债国债收益率曲线,1.0,1.5490
20240627,中债国债收益率曲线,10.0,2.2081
20240626,中债国债收益率曲线,1.0,1.5440
20240626,中债国债收益率曲线,10.0,2.2225
20240625,中债国债收益率曲线,1.0,1.5615
20240625,中债国债收益率曲线,10.0,2.2350
20240624,中债国债收益率曲线,1.0,1.5915
20240624,中债国债收益率曲线,10.0,2.2451
20240621,中债国债收益率曲线,1.0,1.5915
20240621,中债国债收益率曲线,10.0,2.2571
20240620,中债国债收益率曲线,1.0,1.5990
20240620,中债国债收益率曲线,10.0,2.2445
20240619,中债国债收益率曲线,1.0,1.5990
20240619,中债国债收益率曲线,10.0,2.2429
20240618,中债国债收益率曲线,1.0,1.6040
20240618,中债国债收益率曲线,10.0,2.2537
20240617,中债国债收益率曲线,1.0,1.6040
20240617,中债国债收益率曲线,10.0,2.2609
20240614,中债国债收益率曲线,1.0,1.5940
20240614,中债国债收益率曲线,10.0,2.2558
20240613,中债国债收益率曲线,1.0,1.5970
20240613,中债国债收益率曲线,10.0,2.2678
20240612,中债国债收益率曲线,1.0,1.5990
20240612,中债国债收益率曲线,10.0,2.2760
20240611,中债国债收益率曲线,1.0,1.5990
20240611,中债国债收益率曲线,10.0,2.2791
20240607,中债国债收益率曲线,1.0,1.6040
20240607,中债国债收益率曲线,10.0,2.2833
20240606,中债国债收益率曲线,1.0,1.6105
20240606,中债国债收益率曲线,10.0,2.2828
20240605,中债国债收益率曲线,1.0,1.6319
20240605,中债国债收益率曲线,10.0,2.2808
20240604,中债国债收益率曲线,1.0,1.6461
20240604,中债国债收益率曲线,10.0,2.2854
20240603,中债国债收益率曲线,1.0,1.6457
20240603,中债国债收益率曲线,10.0,2.2853
20240531,中债国债收益率曲线,1.0,1.6444
20240531,中债国债收益率曲线,10.0,2.2926
20240530,中债国债收益率曲线,1.0,1.6531
20240530,中债国债收益率曲线,10.0,2.2826
20240529,中债国债收益率曲线,1.0,1.6567
20240529,中债国债收益率曲线,10.0,2.2776
20240528,中债国债收益率曲线,1.0,1.6552
20240528,中债国债收益率曲线,10.0,2.2994
